Tensão (V),Massa (g),Tempo (s),Potência (W),Calor latente (j/g),Tempo ideal (s)
9,1.9,59.76,8.21,258.2261053,77.46723508
9,1.4,61.06,8.21,358.0732857,57.08112058
9,1.7,77.24,8.21,373.0237647,69.31278928
9,1.6,62.95,8.21,323.0121875,65.23556638
9,1.5,75.16,8.21,411.3757333,61.15834348
9,1.5,67.76,8.21,370.8730667,61.15834348
9,2.1,91.56,8.21,357.956,85.62168088
9,1.5,61.3,8.21,335.5153333,61.15834348
9,0.7,34.58,8.21,405.574,28.54056029
9,1.8,50.13,8.21,228.6485,73.39001218
9,1.3,49.7,8.21,313.8746154,53.00389769
9,0.9,39.92,8.21,364.1591111,36.69500609
9,1.7,88,8.21,424.9882353,69.31278928
9,1.2,69,8.21,472.075,48.92667479